,paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
925694,10.1007/11762256_48,esws,ESWC,European Semantic Web Conference,Budva,Montenegro,2,Valentina,Presutti,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,WikiFactory: An Ontology-Based Application for Creating Domain-Oriented Wikis,10.1007/11762256,The Semantic Web: Research and Applications,"3rd European Semantic Web Conference, ESWC 2006, Budva, Montenegro, June 11-14, 2006, Proceedings",OpenAccess,2006-01-01
925695,10.1007/11762256_48,esws,ESWC,European Semantic Web Conference,Budva,Montenegro,3,Fabio,Vitali,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,WikiFactory: An Ontology-Based Application for Creating Domain-Oriented Wikis,10.1007/11762256,The Semantic Web: Research and Applications,"3rd European Semantic Web Conference, ESWC 2006, Budva, Montenegro, June 11-14, 2006, Proceedings",OpenAccess,2006-01-01
1082897,10.1007/978-3-319-11955-7_42,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,1,Riccardo,Falco,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Modelling OWL Ontologies with Graffoo,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1082900,10.1007/978-3-319-11955-7_42,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,3,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Modelling OWL Ontologies with Graffoo,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1082903,10.1007/978-3-319-11955-7_42,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,5,Fabio,Vitali,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Modelling OWL Ontologies with Graffoo,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1083130,10.1007/978-3-319-11955-7_4,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,3,Andrea Giovanni,Nuzzolese,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Setting the Course of Emergency Vehicle Routing Using Geolinked Open Data for the Municipality of Catania,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1083132,10.1007/978-3-319-11955-7_4,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,4,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Setting the Course of Emergency Vehicle Routing Using Geolinked Open Data for the Municipality of Catania,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1083159,10.1007/978-3-319-11955-7_28,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,4,Andrea Giovanni,Nuzzolese,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,A Semantic Web Based Core Engine to Efficiently Perform Sentiment Analysis,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1083192,10.1007/978-3-319-11955-7_15,esws,ESWC,European Semantic Web Conference,"Anissaras, Crete",Greece,2,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Annotating Ontologies with Descriptions of Vagueness,10.1007/978-3-319-11955-7,The Semantic Web: ESWC 2014 Satellite Events,"ESWC 2014 Satellite Events, Anissaras, Crete, Greece, May 25-29, 2014, Revised Selected Papers",,2014-01-01
1145885,10.1007/978-3-642-41242-4_30,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,1,Angelo,Iorio,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Identifying Functions of Citations with CiTalO,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
